route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,Bulle 1.,,3,,b61f21,FFFFFF
2,2,Bulle 2.,,3,,ebbd00,FFFFFF
3,3,Bulle 3.,,3,,ea621c,FFFFFF
4,4,Bulle 4.,,3,,0089a0,FFFFFF
5,5,Bulle 5.,,3,,306f7b,FFFFFF
6,6,Bulle 6.,,3,,009b84,FFFFFF
7,7,Bulle 7.,,3,,cc1f68,FFFFFF
10,10,10,,3,,ef8381,FFFFFF
11,11,11,,3,,2fb6bc,FFFFFF
12,12,12,,3,,3593d0,FFFFFF
13,13,13,,3,,0099ff,FFFFFF
14,14,14,,3,,3493d1,FFFFFF
15,15,15,,3,,31b196,FFFFFF
18,18,18,,3,,c64c87,FFFFFF
19,19,19,,3,,855d52,FFFFFF
20,20,20,,3,,8e599f,FFFFFF
21,21,21,,3,,efaa00,FFFFFF
22,22,22,,3,,31b196,FFFFFF
23,23,23,,3,,3493d1,FFFFFF
24,24,24,,3,,8e599f,FFFFFF
25,25,25,,3,,c64c87,FFFFFF
27,27,27,,3,,efaa00,FFFFFF
30,30,30,,3,,d9473e,FFFFFF
31,31,31,,3,,94ad24,FFFFFF
33,33,33,,3,,94ad24,FFFFFF
35,35,35,,3,,8e599f,FFFFFF
36,36,36,,3,,d9473e,FFFFFF
37,37,37,,3,,31b196,FFFFFF
39,39,39,,3,,c43b6a,FFFFFF
41,41,41,,3,,7e3275,FFFFFF
47,47,47,,3,,ed994a,FFFFFF
50,50,50,,3,,7f8c89,FFFFFF
52,52,52,,3,,000000,FFFFFF
53,53,53,,3,,7f8c89,FFFFFF
54,54,54,,3,,7f8c89,FFFFFF
55,55,55,,3,,7f8c89,FFFFFF
56,56,56,,3,,7f8c89,FFFFFF
57,57,57,,3,,7f8c89,FFFFFF
58,58,58,,3,,7f8c89,FFFFFF
59,59,59,,3,,7f8c89,FFFFFF
60,60,60,,3,,7f8c89,FFFFFF
62,62,62,,3,,7f8c89,FFFFFF
64,64,64,,3,,7f8c89,FFFFFF
66,66,66,,3,,7f8c89,FFFFFF
68,68,68,,3,,7f8c89,FFFFFF
70,70,70,,3,,7f8c89,FFFFFF
72,72,72,,3,,000000,FFFFFF
74,74,74,,3,,000000,FFFFFF
76,76,76,,3,,000000,FFFFFF
78,78,78,,3,,000000,FFFFFF
82,82,82,,3,,31b196,FFFFFF
90,90,Navette Béthune.,,3,,000000,FFFFFF
91,91,Navette marché Lens.,,3,,000000,FFFFFF
92,92,Navette marché Bruay.,,3,,000000,FFFFFF
93,93,,,3,,000000,FFFFFF
101,101,Navette Match Arena,,3,,ffff33,FFFFFF
103,103,Navette Match CRVO,,3,,ff0033,FFFFFF
114,114,114,,3,,7f8c89,FFFFFF
180,180,180 Express.,,3,,000000,FFFFFF
200,200,"ALLOBUS, A.",,3,,000000,FFFFFF
201,201,"ALLOBUS, B.",,3,,000000,FFFFFF
202,202,"ALLOBUS, C.",,3,,000000,FFFFFF
203,203,"ALLOBUS, D.",,3,,000000,FFFFFF
209,209,"ALLOBUS, Site de mémoire.",,3,,000000,FFFFFF
1121,1121,1121,,3,,000000,FFFFFF
1122,1122,1122,,3,,000000,FFFFFF
1123,1123,1123,,3,,000000,FFFFFF
1130,1130,1130,,3,,000000,FFFFFF
1131,1131,1131,,3,,000000,FFFFFF
1132,1132,1132,,3,,000000,FFFFFF
1133,1133,1133,,3,,000000,FFFFFF
1134,1134,1134,,3,,000000,FFFFFF
1140,1140,1140,,3,,000000,FFFFFF
1200,1200,1200,,3,,000000,FFFFFF
1201,1201,1201,,3,,000000,FFFFFF
1202,1202,1202,,3,,000000,FFFFFF
1210,1210,1210,,3,,000000,FFFFFF
1211,1211,1211,,3,,000000,FFFFFF
1220,1220,1220,,3,,000000,FFFFFF
1221,1221,1221,,3,,000000,FFFFFF
1222,1222,1222,,3,,000000,FFFFFF
1223,1223,1223,,3,,000000,FFFFFF
1224,1224,1224,,3,,000000,FFFFFF
1300,1300,1300,,3,,000000,FFFFFF
1310,1310,1310,,3,,000000,FFFFFF
1311,1311,1311,,3,,000000,FFFFFF
1312,1312,1312,,3,,000000,FFFFFF
1313,1313,1313,,3,,000000,FFFFFF
1314,1314,1314,,3,,000000,FFFFFF
1315,1315,1315,,3,,000000,FFFFFF
1316,1316,1316,,3,,000000,FFFFFF
1317,1317,1317,,3,,000000,FFFFFF
1319,1319,1319,,3,,000000,FFFFFF
1320,1320,1320,,3,,000000,FFFFFF
1321,1321,1321,,3,,000000,FFFFFF
1322,1322,1322,,3,,000000,FFFFFF
1323,1323,1323,,3,,000000,FFFFFF
1324,1324,1324,,3,,000000,FFFFFF
1325,1325,1325,,3,,000000,FFFFFF
1326,1326,1326,,3,,000000,FFFFFF
1327,1327,1327,,3,,000000,FFFFFF
1328,1328,1328,,3,,000000,FFFFFF
1329,1329,1329,,3,,000000,FFFFFF
1330,1330,1330,,3,,000000,FFFFFF
1331,1331,1331,,3,,000000,FFFFFF
1332,1332,1332,,3,,000000,FFFFFF
1333,1333,1333,,3,,000000,FFFFFF
1334,1334,1334,,3,,000000,FFFFFF
1400,1400,1400,,3,,000000,FFFFFF
1401,1401,1401,,3,,000000,FFFFFF
1402,1402,1402,,3,,000000,FFFFFF
1410,1410,1410,,3,,000000,FFFFFF
1420,1420,1420,,3,,000000,FFFFFF
1430,1430,1430,,3,,000000,FFFFFF
1431,1431,1431,,3,,000000,FFFFFF
1432,1432,1432,,3,,000000,FFFFFF
1433,1433,1433,,3,,000000,FFFFFF
1434,1434,1434,,3,,000000,FFFFFF
1435,1435,1435,,3,,000000,FFFFFF
1436,1436,1436,,3,,000000,FFFFFF
1437,1437,1437,,3,,000000,FFFFFF
1441,1441,1441,,3,,000000,FFFFFF
1442,1442,1442,,3,,000000,FFFFFF
1443,1443,1443,,3,,000000,FFFFFF
1444,1444,1444,,3,,000000,FFFFFF
1450,1450,1450,,3,,000000,FFFFFF
1451,1451,1451,,3,,000000,FFFFFF
1452,1452,1452,,3,,000000,FFFFFF
1453,1453,1453,,3,,000000,FFFFFF
1454,1454,1454,,3,,000000,FFFFFF
1455,1455,1455,,3,,000000,FFFFFF
1456,1456,1456,,3,,000000,FFFFFF
1457,1457,1457,,3,,000000,FFFFFF
1458,1458,1458,,3,,000000,FFFFFF
1461,1461,1461,,3,,000000,FFFFFF
1462,1462,1462,,3,,000000,FFFFFF
1464,1464,1464,,3,,000000,FFFFFF
1465,1465,1465,,3,,000000,FFFFFF
1466,1466,1466,,3,,000000,FFFFFF
1500,1500,1500,,3,,000000,FFFFFF
1501,1501,1501,,3,,000000,FFFFFF
1502,1502,1502,,3,,000000,FFFFFF
1503,1503,1503,,3,,000000,FFFFFF
1504,1504,1504,,3,,000000,FFFFFF
1505,1505,1505,,3,,000000,FFFFFF
1506,1506,1506,,3,,000000,FFFFFF
1507,1507,1507,,3,,000000,FFFFFF
1508,1508,1508,,3,,000000,FFFFFF
1520,1520,1520,,3,,000000,FFFFFF
1521,1521,1521,,3,,000000,FFFFFF
1560,1560,1560,,3,,000000,FFFFFF
1561,1561,1561,,3,,000000,FFFFFF
1562,1562,1562,,3,,000000,FFFFFF
1563,1563,1563,,3,,000000,FFFFFF
1600,1600,1600,,3,,000000,FFFFFF
1601,1601,1601,,3,,000000,FFFFFF
1602,1602,1602,,3,,000000,FFFFFF
1603,1603,1603,,3,,000000,FFFFFF
1604,1604,1604,,3,,000000,FFFFFF
1605,1605,1605,,3,,000000,FFFFFF
1606,1606,1606,,3,,000000,FFFFFF
1607,1607,1607,,3,,000000,FFFFFF
1620,1620,1620,,3,,000000,FFFFFF
1621,1621,1621,,3,,000000,FFFFFF
1622,1622,1622,,3,,000000,FFFFFF
1630,1630,1630,,3,,000000,FFFFFF
1631,1631,1631,,3,,000000,FFFFFF
1750,1750,1750,,3,,000000,FFFFFF
1751,1751,1751,,3,,000000,FFFFFF
1800,1800,1800,,3,,000000,FFFFFF
1801,1801,1801,,3,,000000,FFFFFF
1802,1802,1802,,3,,000000,FFFFFF
1803,1803,1803,,3,,000000,FFFFFF
1804,1804,1804,,3,,000000,FFFFFF
1805,1805,1805,,3,,000000,FFFFFF
1806,1806,1806,,3,,000000,FFFFFF
1807,1807,1807,,3,,000000,FFFFFF
1820,1820,1820,,3,,000000,FFFFFF
1840,1840,1840,,3,,000000,FFFFFF
1841,1841,1841,,3,,000000,FFFFFF
1842,1842,1842,,3,,000000,FFFFFF
1843,1843,1843,,3,,000000,FFFFFF
1844,1844,1844,,3,,000000,FFFFFF
1845,1845,1845,,3,,000000,FFFFFF
1846,1846,1846,,3,,000000,FFFFFF
1850,1850,1850,,3,,000000,FFFFFF
1900,1900,1900,,3,,000000,FFFFFF
1901,1901,1901,,3,,000000,FFFFFF
1902,1902,1902,,3,,000000,FFFFFF
1903,1903,1903,,3,,000000,FFFFFF
1904,1904,1904,,3,,000000,FFFFFF
1905,1905,1905,,3,,000000,FFFFFF
1930,1930,1930,,3,,000000,FFFFFF
1931,1931,1931,,3,,000000,FFFFFF
2000,2000,2000,,3,,000000,FFFFFF
2001,2001,2001,,3,,000000,FFFFFF
2002,2002,2002,,3,,000000,FFFFFF
