route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
39,51233657,11245433,CARVIN - Lycée Diderot,0,,iti_87317352-9f82-434d-9755-2d33
55,51236742,11250513,AIX-NOULETTE - Epinette,1,,iti_545d7032-7d16-4aed-afee-c0d2
10,51236382,11314094,BEUVRY - Gorre,0,,iti_10a496d4-853e-40d0-b4e7-6ff7
10,51236383,11314095,OBLINGHEM - Mairie,1,,iti_d538488f-2abb-4874-80a5-0097
10,51236384,11314096,BEUVRY - Gorre,0,,iti_10a496d4-853e-40d0-b4e7-6ff7
10,51236385,11314097,OBLINGHEM - Mairie,1,,iti_d538488f-2abb-4874-80a5-0097
12,51236386,11314098,BETHUNE - Clemenceau - Quai 5,0,,iti_78d70203-201d-48bd-af85-f99e
3,51222485,11231639,LENS - Centre-Ville,0,,iti_1b02f670-4a2c-4be7-bbb9-d277
3,51222482,11231633,LENS - Béhal-Jean Zay - Quai 2,1,,iti_68dcaa63-3b18-432a-8eed-adde
3,51222480,11231634,LENS - Béhal-Jean Zay - Quai 2,1,,iti_68dcaa63-3b18-432a-8eed-adde
3,51222478,11231635,LENS - Béhal-Jean Zay - Quai 2,1,,iti_68dcaa63-3b18-432a-8eed-adde
3,51222491,11231636,LENS - Centre-Ville,0,,iti_1b02f670-4a2c-4be7-bbb9-d277
3,51222489,11231637,LENS - Centre-Ville,0,,iti_1b02f670-4a2c-4be7-bbb9-d277
3,51222487,11231638,LENS - Centre-Ville,0,,iti_1b02f670-4a2c-4be7-bbb9-d277
1,51241111,11198737,NOYELLES-GODAULT - Europe - Quai 04,0,,iti_00e37f40-2be7-4a35-9951-c88c
7,51241182,11199144,HENIN-BEAUMONT - Espace Lumière,0,,iti_fa17c566-0368-4323-aba7-11f3
5,51241183,11199145,LENS - Gares - Quai 11,1,,iti_ccf86389-7455-4412-8516-2c8e
5,51241184,11199150,LENS - Gares - Quai 11,1,,iti_ccf86389-7455-4412-8516-2c8e
7,51241185,11199151,HENIN-BEAUMONT - Espace Lumière,0,,iti_fa17c566-0368-4323-aba7-11f3
5,51241186,11199148,LENS - Gares - Quai 11,1,,iti_ccf86389-7455-4412-8516-2c8e
7,51241187,11199149,HENIN-BEAUMONT - Espace Lumière,0,,iti_fa17c566-0368-4323-aba7-11f3
7,51241188,11199138,HENIN-BEAUMONT - Espace Lumière,0,,iti_fa17c566-0368-4323-aba7-11f3
5,51241189,11199139,LENS - Gares - Quai 11,1,,iti_ccf86389-7455-4412-8516-2c8e
7,51241180,11199146,HENIN-BEAUMONT - Espace Lumière,0,,iti_fa17c566-0368-4323-aba7-11f3
